motif	estimatedScale	MSE	optimizedScale	optimizedMSE	motifLength	numberOfKmers
Lef1	0.3503336253334616	1.3989746401092027	0.3703336253334616	0.0318838890789077	8.0	198552
Lhx1	0.2046734246825952	13.745534324405703	0.2646734246825952	0.0283759082756551	10.0	198552
Lhx3	0.1902732703853527	25.999160768766647	0.2902732703853528	0.0159749508125185	12.0	198552
Lhx4	0.2576368735181308	20.70030009328917	0.3776368735181308	0.0464623460304263	6.0	198552
Lhx8	0.207856848967125	17.963300632419042	0.297856848967125	0.0027731129804239	6.0	198552
Mafb	0.3292279925551665	1.510323027812078	0.3492279925551665	0.014504432130909	11.0	198552
Mafg	0.2674344890953684	1.92953618672497	0.2874344890953684	0.0156689225213966	12.0	198552
Mecom	0.2895474250734393	5.536692034277096	0.3295474250734393	0.0212357014258256	11.0	198552
Meis1	0.3070281028595834	3.5018981071163617	0.3370281028595834	0.0065245828685915	12.0	198552
Mitf	0.3219703561098339	2.4182824094742816	0.3519703561098339	0.0054984657784222	7.0	198552
Mlxip	0.2401521846266892	30.46019184090542	0.3301521846266892	0.0295177452429824	6.0	198552
Msgn1	0.335755022815149	1.6398335518892184	0.355755022815149	0.0494997450513276	10.0	198552
Msx3	0.2406163814850279	23.250821107293163	0.3706163814850279	4.4976663941785954e-05	6.0	198552
Myb	0.3372662636983995	1.7770148022259027	0.3572662636983995	0.0385898135884127	10.0	198552
Myc	0.2916711722659317	5.576118741331952	0.3316711722659317	4.770999127923406e-05	10.0	198552
Mycn	0.3099953599534662	2.265721183449612	0.3399953599534662	0.0343715576091713	8.0	198552
Myod1	0.2803779305607837	5.715959502471736	0.3203779305607837	0.00053356538914	11.0	198552
NFATC2	0.4213436581782147	0.5212024897087112	0.4413436581782147	0.0118103416746853	7.0	198552
NFKB1	0.1851537537161143	11.540111017568664	0.2251537537161143	0.0078044418027676	13.0	198552
NFYA	0.3405755148632847	0.398600570905236	0.3505755148632847	0.0062088187385143	8.0	198552
NR3C1	0.2214827139577871	6.175395594416528	0.2514827139577871	0.0058973130563614	15.0	198552
NR4A2	0.3571813551530196	0.4445537465202813	0.3671813551530196	0.0260869787178189	8.0	198552
NR5A1	0.2906070151409044	0.9261448088560064	0.3006070151409044	0.0754665397986656	12.0	198552
Nanog	0.3517750407590868	0.7792064180032802	0.3717750407590868	0.0083469801477355	7.0	198552
Neurod2	0.3546307648022259	0.7020391352726244	0.3746307648022259	0.0301923089510336	8.0	198552
